id,label,type,description,evidence_source,en_identifier
fqdn_epdg,epdg.epc.mnc<MNC>.mcc<MCC>.pub.3gppnetwork.org,FQDNPattern,ePDG 发现用 FQDN 模板,3GPP TS 23.003,ePDG FQDN pattern
fqdn_n3iwf,n3iwf.5gc.mnc<MNC>.mcc<MCC>.pub.3gppnetwork.org,FQDNPattern,N3IWF 服务实例命名模板,3GPP TS 23.003,N3IWF FQDN pattern
doc_ts23003,3GPP TS 23.003,StandardDoc,编号、寻址与 FQDN 规则,3GPP 公开规范目录,TS 23.003
doc_ts24502,3GPP TS 24.502,StandardDoc,5G 非 3GPP 接入相关流程,3GPP 公开规范目录,TS 24.502
doc_ts23228,3GPP TS 23.228,StandardDoc,IMS 阶段描述与架构,3GPP 公开规范目录,TS 23.228
doc_ts24229,3GPP TS 24.229,StandardDoc,IMS 中 SIP 与 SDP 协议细节,3GPP 公开规范目录,TS 24.229
doc_gsma_og,GSMA Open Gateway,StandardDoc,开放网关倡议与能力开放说明,GSMA 官方材料,GSMA Open Gateway
doc_camara_comm,CAMARA Commonalities Docs,StandardDoc,CAMARA 共性文档入口,CAMARA 项目站点,CAMARA Commonalities Docs
doc_camara_icm,CAMARA ICM Docs,StandardDoc,身份与同意管理相关规范,CAMARA ICM 仓库,CAMARA ICM Docs
risk_fqdn_discover,暴露式 FQDN 可能提升资产可发现性,RiskHypothesis,可预测的命名模式或公开 DNS 记录可能降低攻击者枚举成本,研究假设,risk-fqdn
risk_edge_discovery,边界服务发现链可能泄露入口信息,RiskHypothesis,解析链与证书透明等侧信道可能暴露边界网元,研究假设,risk-edge
risk_openapi,开放 API 文档可能暴露能力结构,RiskHypothesis,北向 API 清单与示例可能辅助能力测绘,研究假设,risk-openapi
risk_icm,身份与同意管理配置不当可能带来越权面,RiskHypothesis,同意范围与令牌校验错误可能导致能力滥用,研究假设,risk-icm
wp_extractor,标准抽取器,WorkProduct,规则/LLM 抽取候选实体与关系到图谱,本仓库原型,Standard Extractor
wp_validator,图谱校验器,WorkProduct,一致性检查与报告生成,本仓库原型,Graph Validator
wp_exposure,候选暴露面生成器,WorkProduct,基于 MCC/MNC 与服务上下文生成候选面,本仓库原型,Exposure Generator
wp_mermaid,Mermaid 导出器,WorkProduct,将当前图谱导出为 Mermaid 文本,本仓库原型,Mermaid Exporter
wp_passive_report,被动验证报告生成器,WorkProduct,汇总文档映射与实验状态（示意）,本仓库原型,Passive Report Builder
wp_exp_panel,实验验证任务面板,WorkProduct,展示可在实验环境验证的对象与状态,本仓库原型,Experiment Panel
met_nodes,节点总数,Metric,图谱节点规模统计,系统计算,metric.nodes
met_edges,边总数,Metric,图谱关系规模统计,系统计算,metric.edges
met_high_risk,高风险候选数,Metric,规则打分较高的暴露面候选计数（示意）,系统计算,metric.high_risk
met_validated,已验证任务数,Metric,实验验证状态为 validated 的任务计数,系统计算,metric.validated
